Título,avaliação,Quantidade de avaliação,Gêneros,Classificação Indicativa,Duração
The Rip,Sem avaliação,Sem avaliação,"Ação, Policial, Drama",R,2H13M
All the President&apos;s Men,7.9,133700,"Drama, História, Suspense",10,2H18M
The Creator,6.7,190168,"Ação, Aventura, Drama",14,2H13M
731,3.1,1068,"Drama, História, Mistério",Sem classificação indicativa,2H5M
Ajey: The Untold Story of a Yogi,6.4,11296,"Biografia, Drama",Sem classificação indicativa,2H30M
Dangerous Animals,6.4,21073,"Terror, Suspense",18,1H38M
The Lord of the Rings: The Fellowship of the Ring,8.9,2142893,"Aventura, Drama, Fantasia",12,2H58M
I Know What You Did Last Summer,5.2,26740,Terror,16,1H51M
Oppenheimer,8.3,940699,"Biografia, Drama, História",16,3H
Afterburn,4.5,861,"Ação, Comédia, Ficção científica",18,1H45M
Anora,7.4,227118,"Comédia, Drama, Romance",16,2H19M
The Sting,8.2,294109,"Comédia, Policial, Drama",18,2H9M
Barbarian,7,240552,"Terror, Mistério, Suspense",18,1H42M
Pulp Fiction,8.8,2371261,"Policial, Drama",18,2H34M
